ID_Location,Name,Year,Total route length (km),Total duration (hrs),Number of routes,Area Excluded (km2),Total Area (km2),,,,,,
37,Muduva Nyangana,2013,94,27.7,11,493,615,,,,,,
41,George Mukoya,2013,228.2,74.5,23,249,486,,,,,,
37,Muduva Nyangana,2014,114.3,29.4,11,493,615,,,,,,
41,George Mukoya,2014,254.6,71.3,24,249,486,,,,,,
37,Muduva Nyangana,2015,112,31.9,11,493,615,,,,,,
41,George Mukoya,2015,239.4,72.5,24,249,486,,,,,,
37,Muduva Nyangana,2016,115,31.7,11,493,615,,,,,,
41,George Mukoya,2016,252,72.5,24,249,486,,,,,,
1,Nyae Nyae,2017,1430.6,383.5,114,4792,8994,,,,,,
37,Muduva Nyangana,2017,113,31.7,11,493,615,,,,,,
41,George Mukoya,2017,251.6,84.9,24,249,486,,,,,,
1,Nyae Nyae,2018,1905.5,466.8,140,4792,8994,,,,,,
37,Muduva Nyangana,2018,106,34.8,11,493,615,,,,,,
41,George Mukoya,2018,236.6,57.6,24,249,486,,,,,,
1,Nyae Nyae,2019,1988.5,504.6,151,4792,8994,,,,,,
37,Muduva Nyangana,2019,115.9,33.9,11,493,615,,,,,,
41,George Mukoya,2019,254.6,71.9,24,249,486,,,,,,
1,Nyae Nyae,2020,1985.4,475.6,151,4792,8994,,,,,,
37,Muduva Nyangana,2020,151.6,30.6,11,493,615,,,,,,
41,George Mukoya,2020,254.4,67.6,24,249,486,,,,,,
1,Nyae Nyae,2021,1770.1,380.7,128,4792,8994,,,,,,
37,Muduva Nyangana,2021,111,26.5,11,493,615,,,,,,
41,George Mukoya,2021,242,37.1,24,249,486,,,,,,
1,Nyae Nyae,2022,2065.6,404.6,154,4792,8994,,,,,,
37,Muduva Nyangana,2022,106,40.8,11,493,615,,,,,,
41,George Mukoya,2022,221,79.7,24,249,486,,,,,,
1,Nyae Nyae,2023,2055.2,516.5,151,4792,8994,,,,,,
37,Muduva Nyangana,2023,116,36.5,11,493,615,,,,,,
41,George Mukoya,2023,241,75.7,24,249,486,,,,,,
1,Nyae Nyae,2024,2004.1,495.2,152,4792,8994,,,,,,
37,Muduva Nyangana,2024,121.8,34,11,493,615,,,,,,
41,George Mukoya,2024,241.2,78.5,23,249,486,,,,,,