,Average Rainfall (mm),,,,,,,
1982,363,,,,,,,
1983,416,,,,,,,
1984,471,,,,,,,
1985,447,,,,,,,
1986,452,,,,,,,
1987,381,,,,,,,
1988,487,,,,,,,
1989,827,,,,,,,
1990,391,,,,,,,
1991,466,,,,,,,
1992,400,,,,,,,
1993,495,,,,,,,
1994,524,,,,,,,
1995,285,,,,,,,
1996,373,,,,,,,
1997,673,,,,,,,
1998,342,,,,,,,
1999,479,,,,,,,
2000,697,,,,,,,
2001,428,,,,,,,
2002,469,,,,,,,
2003,365,,,,,,,
2004,616,,,,,,,
2005,353,,,,,,,
2006,699,,,,,,,
2007,458,,,,,,,
2008,652,,,,,,,
2009,739,,,,,,,
2010,572,,,,,,,
2011,768,,,,,,,
2012,623,,,,,,,
2013,387,,,,,,,
2014,641,,,,,,,
2015,365,,,,,,,
2016,462,,,,,,,
2017,747,,,,,,,
2018,455,,,,,,,
2019,215,,,,,,,
2020,387,,,,,,,
2021,717,,,,,,,
2022,577,,,,,,,
2023,204,,,,,,,
2024,315,,,,,,,