ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,
1,Nyae Nyae,Aardwolf,2017,,,1431,,,,,,,
1,Nyae Nyae,Aardwolf,2018,,,1906,,,,,,,
1,Nyae Nyae,Aardwolf,2019,,,1989,,,,,,,
1,Nyae Nyae,Aardwolf,2020,,,1985,,,,,,,
1,Nyae Nyae,Aardwolf,2021,,,1770,,,,,,,
1,Nyae Nyae,Aardwolf,2022,,,2066,,,,,,,
1,Nyae Nyae,Aardwolf,2023,,,2055,,,,,,,
1,Nyae Nyae,Aardwolf,2024,3,3,2004,0.1,,,,,,
1,Nyae Nyae,African Wildcat,2017,,,1431,,,,,,,
1,Nyae Nyae,African Wildcat,2018,,,1906,,,,,,,
1,Nyae Nyae,African Wildcat,2019,1,1,1989,0.1,,,,,,
1,Nyae Nyae,African Wildcat,2020,,,1985,,,,,,,
1,Nyae Nyae,African Wildcat,2021,2,2,1770,0.1,,,,,,
1,Nyae Nyae,African Wildcat,2022,,,2066,,,,,,,
1,Nyae Nyae,African Wildcat,2023,1,1,2055,0,,,,,,
1,Nyae Nyae,African Wildcat,2024,,,2004,,,,,,,
1,Nyae Nyae,Baboon,2017,,,1431,,,,,,,
1,Nyae Nyae,Baboon,2018,,,1906,,,,,,,
1,Nyae Nyae,Baboon,2019,,,1989,,,,,,,
1,Nyae Nyae,Baboon,2020,,,1985,,,,,,,
1,Nyae Nyae,Baboon,2021,,,1770,,,,,,,
1,Nyae Nyae,Baboon,2022,,,2066,,,,,,,
1,Nyae Nyae,Baboon,2023,,,2055,,,,,,,
1,Nyae Nyae,Baboon,2024,,,2004,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2017,,,1431,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2018,,,1906,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2019,,,1989,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2020,2,1,1985,0.1,,,,,,
1,Nyae Nyae,Bat-eared Fox,2021,,,1770,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2022,,,2066,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2023,,,2055,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2024,2,1,2004,0.1,,,,,,
1,Nyae Nyae,Burchell's Zebra,2017,,,1431,,,,,,,
1,Nyae Nyae,Burchell's Zebra,2018,,,1906,,,,,,,
1,Nyae Nyae,Burchell's Zebra,2019,,,1989,,,,,,,
1,Nyae Nyae,Burchell's Zebra,2020,,,1985,,,,,,,
1,Nyae Nyae,Burchell's Zebra,2021,,,1770,,,,,,,
1,Nyae Nyae,Burchell's Zebra,2022,63,9,2066,3,,,,,,
1,Nyae Nyae,Burchell's Zebra,2023,103,13,2055,5,,,,,,
1,Nyae Nyae,Burchell's Zebra,2024,78,12,2004,3.9,,,,,,
1,Nyae Nyae,Bushpig,2017,,,1431,,,,,,,
1,Nyae Nyae,Bushpig,2018,,,1906,,,,,,,
1,Nyae Nyae,Bushpig,2019,,,1989,,,,,,,
1,Nyae Nyae,Bushpig,2020,1,1,1985,0.1,,,,,,
1,Nyae Nyae,Bushpig,2021,,,1770,,,,,,,
1,Nyae Nyae,Bushpig,2022,,,2066,,,,,,,
1,Nyae Nyae,Bushpig,2023,,,2055,,,,,,,
1,Nyae Nyae,Bushpig,2024,,,2004,,,,,,,
1,Nyae Nyae,Caracal,2017,,,1431,,,,,,,
1,Nyae Nyae,Caracal,2018,,,1906,,,,,,,
1,Nyae Nyae,Caracal,2019,,,1989,,,,,,,
1,Nyae Nyae,Caracal,2020,,,1985,,,,,,,
1,Nyae Nyae,Caracal,2021,,,1770,,,,,,,
1,Nyae Nyae,Caracal,2022,,,2066,,,,,,,
1,Nyae Nyae,Caracal,2023,,,2055,,,,,,,
1,Nyae Nyae,Caracal,2024,,,2004,,,,,,,
1,Nyae Nyae,Cheetah,2017,,,1431,,,,,,,
1,Nyae Nyae,Cheetah,2018,,,1906,,,,,,,
1,Nyae Nyae,Cheetah,2019,,,1989,,,,,,,
1,Nyae Nyae,Cheetah,2020,,,1985,,,,,,,
1,Nyae Nyae,Cheetah,2021,,,1770,,,,,,,
1,Nyae Nyae,Cheetah,2022,,,2066,,,,,,,
1,Nyae Nyae,Cheetah,2023,,,2055,,,,,,,
1,Nyae Nyae,Cheetah,2024,1,1,2004,0,,,,,,
1,Nyae Nyae,Duiker,2017,51,48,1431,3.6,,,,,,
1,Nyae Nyae,Duiker,2018,47,44,1906,2.5,,,,,,
1,Nyae Nyae,Duiker,2019,54,53,1989,2.7,,,,,,
1,Nyae Nyae,Duiker,2020,50,48,1985,2.5,,,,,,
1,Nyae Nyae,Duiker,2021,74,71,1770,4.2,,,,,,
1,Nyae Nyae,Duiker,2022,73,71,2066,3.5,,,,,,
1,Nyae Nyae,Duiker,2023,89,80,2055,4.3,,,,,,
1,Nyae Nyae,Duiker,2024,53,47,2004,2.6,,,,,,
1,Nyae Nyae,Eland,2017,5,1,1431,0.3,,,,,,
1,Nyae Nyae,Eland,2018,2,2,1906,0.1,,,,,,
1,Nyae Nyae,Eland,2019,,,1989,,,,,,,
1,Nyae Nyae,Eland,2020,3,1,1985,0.2,,,,,,
1,Nyae Nyae,Eland,2021,,,1770,,,,,,,
1,Nyae Nyae,Eland,2022,1,1,2066,0,,,,,,
1,Nyae Nyae,Eland,2023,15,1,2055,0.7,,,,,,
1,Nyae Nyae,Eland,2024,6,1,2004,0.3,,,,,,
1,Nyae Nyae,Elephant,2017,91,39,1431,6.4,,,,,,
1,Nyae Nyae,Elephant,2018,251,68,1906,13.2,,,,,,
1,Nyae Nyae,Elephant,2019,366,70,1989,18.4,,,,,,
1,Nyae Nyae,Elephant,2020,195,63,1985,9.8,,,,,,
1,Nyae Nyae,Elephant,2021,316,61,1770,17.9,,,,,,
1,Nyae Nyae,Elephant,2022,245,56,2066,11.9,,,,,,
1,Nyae Nyae,Elephant,2023,692,137,2055,33.7,,,,,,
1,Nyae Nyae,Elephant,2024,360,95,2004,18,,,,,,
1,Nyae Nyae,Gemsbok,2017,120,22,1431,8.4,,,,,,
1,Nyae Nyae,Gemsbok,2018,51,17,1906,2.7,,,,,,
1,Nyae Nyae,Gemsbok,2019,89,25,1989,4.5,,,,,,
1,Nyae Nyae,Gemsbok,2020,62,28,1985,3.1,,,,,,
1,Nyae Nyae,Gemsbok,2021,122,32,1770,6.9,,,,,,
1,Nyae Nyae,Gemsbok,2022,123,31,2066,6,,,,,,
1,Nyae Nyae,Gemsbok,2023,38,17,2055,1.8,,,,,,
1,Nyae Nyae,Gemsbok,2024,36,13,2004,1.8,,,,,,
1,Nyae Nyae,Giraffe,2017,16,4,1431,1.1,,,,,,
1,Nyae Nyae,Giraffe,2018,2,1,1906,0.1,,,,,,
1,Nyae Nyae,Giraffe,2019,4,3,1989,0.2,,,,,,
1,Nyae Nyae,Giraffe,2020,29,5,1985,1.5,,,,,,
1,Nyae Nyae,Giraffe,2021,1,1,1770,0.1,,,,,,
1,Nyae Nyae,Giraffe,2022,24,7,2066,1.2,,,,,,
1,Nyae Nyae,Giraffe,2023,12,5,2055,0.6,,,,,,
1,Nyae Nyae,Giraffe,2024,33,8,2004,1.6,,,,,,
1,Nyae Nyae,Ground Hornbill,2017,,,1431,,,,,,,
1,Nyae Nyae,Ground Hornbill,2018,,,1906,,,,,,,
1,Nyae Nyae,Ground Hornbill,2019,,,1989,,,,,,,
1,Nyae Nyae,Ground Hornbill,2020,,,1985,,,,,,,
1,Nyae Nyae,Ground Hornbill,2021,,,1770,,,,,,,
1,Nyae Nyae,Ground Hornbill,2022,,,2066,,,,,,,
1,Nyae Nyae,Ground Hornbill,2023,,,2055,,,,,,,
1,Nyae Nyae,Ground Hornbill,2024,,,2004,,,,,,,
1,Nyae Nyae,Hartebeest,2017,16,3,1431,1.1,,,,,,
1,Nyae Nyae,Hartebeest,2018,67,8,1906,3.5,,,,,,
1,Nyae Nyae,Hartebeest,2019,51,7,1989,2.6,,,,,,
1,Nyae Nyae,Hartebeest,2020,87,9,1985,4.4,,,,,,
1,Nyae Nyae,Hartebeest,2021,31,8,1770,1.8,,,,,,
1,Nyae Nyae,Hartebeest,2022,15,6,2066,0.7,,,,,,
1,Nyae Nyae,Hartebeest,2023,60,9,2055,2.9,,,,,,
1,Nyae Nyae,Hartebeest,2024,79,9,2004,3.9,,,,,,
1,Nyae Nyae,Honey Badger,2017,,,1431,,,,,,,
1,Nyae Nyae,Honey Badger,2018,,,1906,,,,,,,
1,Nyae Nyae,Honey Badger,2019,1,1,1989,0.1,,,,,,
1,Nyae Nyae,Honey Badger,2020,1,1,1985,0.1,,,,,,
1,Nyae Nyae,Honey Badger,2021,4,2,1770,0.2,,,,,,
1,Nyae Nyae,Honey Badger,2022,2,1,2066,0.1,,,,,,
1,Nyae Nyae,Honey Badger,2023,1,1,2055,0,,,,,,
1,Nyae Nyae,Honey Badger,2024,4,3,2004,0.2,,,,,,
1,Nyae Nyae,Impala,2017,6,2,1431,0.4,,,,,,
1,Nyae Nyae,Impala,2018,,,1906,,,,,,,
1,Nyae Nyae,Impala,2019,,,1989,,,,,,,
1,Nyae Nyae,Impala,2020,,,1985,,,,,,,
1,Nyae Nyae,Impala,2021,,,1770,,,,,,,
1,Nyae Nyae,Impala,2022,,,2066,,,,,,,
1,Nyae Nyae,Impala,2023,,,2055,,,,,,,
1,Nyae Nyae,Impala,2024,4,3,2004,0.2,,,,,,
1,Nyae Nyae,"Jackal, Black-backed",2017,6,6,1431,0.4,,,,,,
1,Nyae Nyae,"Jackal, Black-backed",2018,11,8,1906,0.6,,,,,,
1,Nyae Nyae,"Jackal, Black-backed",2019,22,10,1989,1.1,,,,,,
1,Nyae Nyae,"Jackal, Black-backed",2020,20,17,1985,1,,,,,,
1,Nyae Nyae,"Jackal, Black-backed",2021,9,8,1770,0.5,,,,,,
1,Nyae Nyae,"Jackal, Black-backed",2022,20,11,2066,1,,,,,,
1,Nyae Nyae,"Jackal, Black-backed",2023,40,22,2055,1.9,,,,,,
1,Nyae Nyae,"Jackal, Black-backed",2024,13,10,2004,0.6,,,,,,
1,Nyae Nyae,Kori Bustard,2017,,,1431,,,,,,,
1,Nyae Nyae,Kori Bustard,2018,,,1906,,,,,,,
1,Nyae Nyae,Kori Bustard,2019,,,1989,,,,,,,
1,Nyae Nyae,Kori Bustard,2020,,,1985,,,,,,,
1,Nyae Nyae,Kori Bustard,2021,,,1770,,,,,,,
1,Nyae Nyae,Kori Bustard,2022,13,7,2066,0.6,,,,,,
1,Nyae Nyae,Kori Bustard,2023,1,1,2055,0,,,,,,
1,Nyae Nyae,Kori Bustard,2024,16,11,2004,0.8,,,,,,
1,Nyae Nyae,Kudu,2017,108,33,1431,7.5,,,,,,
1,Nyae Nyae,Kudu,2018,196,50,1906,10.3,,,,,,
1,Nyae Nyae,Kudu,2019,159,49,1989,8,,,,,,
1,Nyae Nyae,Kudu,2020,155,44,1985,7.8,,,,,,
1,Nyae Nyae,Kudu,2021,197,57,1770,11.1,,,,,,
1,Nyae Nyae,Kudu,2022,272,69,2066,13.2,,,,,,
1,Nyae Nyae,Kudu,2023,184,64,2055,9,,,,,,
1,Nyae Nyae,Kudu,2024,224,68,2004,11.2,,,,,,
1,Nyae Nyae,Leopard,2017,,,1431,,,,,,,
1,Nyae Nyae,Leopard,2018,,,1906,,,,,,,
1,Nyae Nyae,Leopard,2019,1,1,1989,0.1,,,,,,
1,Nyae Nyae,Leopard,2020,1,1,1985,0.1,,,,,,
1,Nyae Nyae,Leopard,2021,1,1,1770,0.1,,,,,,
1,Nyae Nyae,Leopard,2022,1,1,2066,0,,,,,,
1,Nyae Nyae,Leopard,2023,1,1,2055,0,,,,,,
1,Nyae Nyae,Leopard,2024,,,2004,,,,,,,
1,Nyae Nyae,Lion,2017,,,1431,,,,,,,
1,Nyae Nyae,Lion,2018,,,1906,,,,,,,
1,Nyae Nyae,Lion,2019,1,1,1989,0.1,,,,,,
1,Nyae Nyae,Lion,2020,,,1985,,,,,,,
1,Nyae Nyae,Lion,2021,,,1770,,,,,,,
1,Nyae Nyae,Lion,2022,,,2066,,,,,,,
1,Nyae Nyae,Lion,2023,,,2055,,,,,,,
1,Nyae Nyae,Lion,2024,1,1,2004,0,,,,,,
1,Nyae Nyae,Ostrich,2017,32,13,1431,2.2,,,,,,
1,Nyae Nyae,Ostrich,2018,16,9,1906,0.8,,,,,,
1,Nyae Nyae,Ostrich,2019,70,27,1989,3.5,,,,,,
1,Nyae Nyae,Ostrich,2020,38,17,1985,1.9,,,,,,
1,Nyae Nyae,Ostrich,2021,33,16,1770,1.9,,,,,,
1,Nyae Nyae,Ostrich,2022,62,12,2066,3,,,,,,
1,Nyae Nyae,Ostrich,2023,51,21,2055,2.5,,,,,,
1,Nyae Nyae,Ostrich,2024,52,19,2004,2.6,,,,,,
1,Nyae Nyae,Porcupine,2017,,,1431,,,,,,,
1,Nyae Nyae,Porcupine,2018,,,1906,,,,,,,
1,Nyae Nyae,Porcupine,2019,3,2,1989,0.2,,,,,,
1,Nyae Nyae,Porcupine,2020,5,2,1985,0.3,,,,,,
1,Nyae Nyae,Porcupine,2021,1,1,1770,0.1,,,,,,
1,Nyae Nyae,Porcupine,2022,2,1,2066,0.1,,,,,,
1,Nyae Nyae,Porcupine,2023,,,2055,,,,,,,
1,Nyae Nyae,Porcupine,2024,3,1,2004,0.1,,,,,,
1,Nyae Nyae,Roan,2017,36,9,1431,2.5,,,,,,
1,Nyae Nyae,Roan,2018,155,22,1906,8.1,,,,,,
1,Nyae Nyae,Roan,2019,62,16,1989,3.1,,,,,,
1,Nyae Nyae,Roan,2020,26,10,1985,1.3,,,,,,
1,Nyae Nyae,Roan,2021,29,11,1770,1.6,,,,,,
1,Nyae Nyae,Roan,2022,68,15,2066,3.3,,,,,,
1,Nyae Nyae,Roan,2023,91,22,2055,4.4,,,,,,
1,Nyae Nyae,Roan,2024,51,13,2004,2.5,,,,,,
1,Nyae Nyae,Sable,2017,,,1431,,,,,,,
1,Nyae Nyae,Sable,2018,1,1,1906,0.1,,,,,,
1,Nyae Nyae,Sable,2019,,,1989,,,,,,,
1,Nyae Nyae,Sable,2020,,,1985,,,,,,,
1,Nyae Nyae,Sable,2021,,,1770,,,,,,,
1,Nyae Nyae,Sable,2022,,,2066,,,,,,,
1,Nyae Nyae,Sable,2023,,,2055,,,,,,,
1,Nyae Nyae,Sable,2024,,,2004,,,,,,,
1,Nyae Nyae,Scrub hare,2017,,,1431,,,,,,,
1,Nyae Nyae,Scrub hare,2018,,,1906,,,,,,,
1,Nyae Nyae,Scrub hare,2019,,,1989,,,,,,,
1,Nyae Nyae,Scrub hare,2020,,,1985,,,,,,,
1,Nyae Nyae,Scrub hare,2021,,,1770,,,,,,,
1,Nyae Nyae,Scrub hare,2022,,,2066,,,,,,,
1,Nyae Nyae,Scrub hare,2023,,,2055,,,,,,,
1,Nyae Nyae,Scrub hare,2024,,,2004,,,,,,,
1,Nyae Nyae,Spotted Hyaena,2017,2,2,1431,0.1,,,,,,
1,Nyae Nyae,Spotted Hyaena,2018,1,1,1906,0.1,,,,,,
1,Nyae Nyae,Spotted Hyaena,2019,1,1,1989,0.1,,,,,,
1,Nyae Nyae,Spotted Hyaena,2020,2,2,1985,0.1,,,,,,
1,Nyae Nyae,Spotted Hyaena,2021,,,1770,,,,,,,
1,Nyae Nyae,Spotted Hyaena,2022,,,2066,,,,,,,
1,Nyae Nyae,Spotted Hyaena,2023,1,1,2055,0,,,,,,
1,Nyae Nyae,Spotted Hyaena,2024,3,2,2004,0.1,,,,,,
1,Nyae Nyae,Springbok,2017,,,1431,,,,,,,
1,Nyae Nyae,Springbok,2018,,,1906,,,,,,,
1,Nyae Nyae,Springbok,2019,,,1989,,,,,,,
1,Nyae Nyae,Springbok,2020,,,1985,,,,,,,
1,Nyae Nyae,Springbok,2021,,,1770,,,,,,,
1,Nyae Nyae,Springbok,2022,309,25,2066,15,,,,,,
1,Nyae Nyae,Springbok,2023,208,16,2055,10.1,,,,,,
1,Nyae Nyae,Springbok,2024,299,24,2004,14.9,,,,,,
1,Nyae Nyae,Steenbok,2017,55,55,1431,3.8,,,,,,
1,Nyae Nyae,Steenbok,2018,61,56,1906,3.2,,,,,,
1,Nyae Nyae,Steenbok,2019,88,82,1989,4.4,,,,,,
1,Nyae Nyae,Steenbok,2020,95,84,1985,4.8,,,,,,
1,Nyae Nyae,Steenbok,2021,114,98,1770,6.4,,,,,,
1,Nyae Nyae,Steenbok,2022,96,90,2066,4.6,,,,,,
1,Nyae Nyae,Steenbok,2023,109,100,2055,5.3,,,,,,
1,Nyae Nyae,Steenbok,2024,104,99,2004,5.2,,,,,,
1,Nyae Nyae,Vervet Monkey,2017,,,1431,,,,,,,
1,Nyae Nyae,Vervet Monkey,2018,,,1906,,,,,,,
1,Nyae Nyae,Vervet Monkey,2019,,,1989,,,,,,,
1,Nyae Nyae,Vervet Monkey,2020,,,1985,,,,,,,
1,Nyae Nyae,Vervet Monkey,2021,,,1770,,,,,,,
1,Nyae Nyae,Vervet Monkey,2022,,,2066,,,,,,,
1,Nyae Nyae,Vervet Monkey,2023,,,2055,,,,,,,
1,Nyae Nyae,Vervet Monkey,2024,,,2004,,,,,,,
1,Nyae Nyae,Warthog,2017,15,7,1431,1,,,,,,
1,Nyae Nyae,Warthog,2018,37,15,1906,1.9,,,,,,
1,Nyae Nyae,Warthog,2019,38,12,1989,1.9,,,,,,
1,Nyae Nyae,Warthog,2020,26,11,1985,1.3,,,,,,
1,Nyae Nyae,Warthog,2021,43,18,1770,2.4,,,,,,
1,Nyae Nyae,Warthog,2022,60,27,2066,2.9,,,,,,
1,Nyae Nyae,Warthog,2023,41,17,2055,2,,,,,,
1,Nyae Nyae,Warthog,2024,46,18,2004,2.3,,,,,,
1,Nyae Nyae,Wild dog,2017,5,2,1431,0.3,,,,,,
1,Nyae Nyae,Wild dog,2018,14,2,1906,0.7,,,,,,
1,Nyae Nyae,Wild dog,2019,,,1989,,,,,,,
1,Nyae Nyae,Wild dog,2020,1,1,1985,0.1,,,,,,
1,Nyae Nyae,Wild dog,2021,2,1,1770,0.1,,,,,,
1,Nyae Nyae,Wild dog,2022,3,1,2066,0.1,,,,,,
1,Nyae Nyae,Wild dog,2023,,,2055,,,,,,,
1,Nyae Nyae,Wild dog,2024,25,3,2004,1.2,,,,,,
1,Nyae Nyae,Wildebeest,2017,348,30,1431,24.3,,,,,,
1,Nyae Nyae,Wildebeest,2018,707,56,1906,37.1,,,,,,
1,Nyae Nyae,Wildebeest,2019,1065,56,1989,53.6,,,,,,
1,Nyae Nyae,Wildebeest,2020,582,48,1985,29.3,,,,,,
1,Nyae Nyae,Wildebeest,2021,423,44,1770,23.9,,,,,,
1,Nyae Nyae,Wildebeest,2022,833,77,2066,40.3,,,,,,
1,Nyae Nyae,Wildebeest,2023,1640,78,2055,79.8,,,,,,
1,Nyae Nyae,Wildebeest,2024,1584,62,2004,79,,,,,,
37,Muduva Nyangana,Aardwolf,2013,,,94,,,,,,,
37,Muduva Nyangana,Aardwolf,2014,,,114,,,,,,,
37,Muduva Nyangana,Aardwolf,2015,,,112,,,,,,,
37,Muduva Nyangana,Aardwolf,2016,,,115,,,,,,,
37,Muduva Nyangana,Aardwolf,2017,,,113,,,,,,,
37,Muduva Nyangana,Aardwolf,2018,,,106,,,,,,,
37,Muduva Nyangana,Aardwolf,2019,,,116,,,,,,,
37,Muduva Nyangana,Aardwolf,2020,,,152,,,,,,,
37,Muduva Nyangana,Aardwolf,2021,,,111,,,,,,,
37,Muduva Nyangana,Aardwolf,2022,,,106,,,,,,,
37,Muduva Nyangana,Aardwolf,2023,,,116,,,,,,,
37,Muduva Nyangana,Aardwolf,2024,,,122,,,,,,,
37,Muduva Nyangana,African Wildcat,2013,,,94,,,,,,,
37,Muduva Nyangana,African Wildcat,2014,,,114,,,,,,,
37,Muduva Nyangana,African Wildcat,2015,,,112,,,,,,,
37,Muduva Nyangana,African Wildcat,2016,,,115,,,,,,,
37,Muduva Nyangana,African Wildcat,2017,,,113,,,,,,,
37,Muduva Nyangana,African Wildcat,2018,,,106,,,,,,,
37,Muduva Nyangana,African Wildcat,2019,,,116,,,,,,,
37,Muduva Nyangana,African Wildcat,2020,,,152,,,,,,,
37,Muduva Nyangana,African Wildcat,2021,,,111,,,,,,,
37,Muduva Nyangana,African Wildcat,2022,,,106,,,,,,,
37,Muduva Nyangana,African Wildcat,2023,,,116,,,,,,,
37,Muduva Nyangana,African Wildcat,2024,,,122,,,,,,,
37,Muduva Nyangana,Baboon,2013,,,94,,,,,,,
37,Muduva Nyangana,Baboon,2014,,,114,,,,,,,
37,Muduva Nyangana,Baboon,2015,,,112,,,,,,,
37,Muduva Nyangana,Baboon,2016,,,115,,,,,,,
37,Muduva Nyangana,Baboon,2017,,,113,,,,,,,
37,Muduva Nyangana,Baboon,2018,,,106,,,,,,,
37,Muduva Nyangana,Baboon,2019,,,116,,,,,,,
37,Muduva Nyangana,Baboon,2020,,,152,,,,,,,
37,Muduva Nyangana,Baboon,2021,10,1,111,9,,,,,,
37,Muduva Nyangana,Baboon,2022,,,106,,,,,,,
37,Muduva Nyangana,Baboon,2023,,,116,,,,,,,
37,Muduva Nyangana,Baboon,2024,,,122,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2013,,,94,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2014,,,114,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2015,,,112,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2016,,,115,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2017,,,113,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2018,,,106,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2019,,,116,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2020,,,152,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2021,,,111,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2022,,,106,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2023,,,116,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2024,,,122,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2013,,,94,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2014,,,114,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2015,,,112,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2016,,,115,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2017,,,113,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2018,,,106,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2019,,,116,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2020,,,152,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2021,,,111,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2022,,,106,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2023,,,116,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2024,,,122,,,,,,,
37,Muduva Nyangana,Bushpig,2013,,,94,,,,,,,
37,Muduva Nyangana,Bushpig,2014,,,114,,,,,,,
37,Muduva Nyangana,Bushpig,2015,2,1,112,1.8,,,,,,
37,Muduva Nyangana,Bushpig,2016,,,115,,,,,,,
37,Muduva Nyangana,Bushpig,2017,,,113,,,,,,,
37,Muduva Nyangana,Bushpig,2018,,,106,,,,,,,
37,Muduva Nyangana,Bushpig,2019,,,116,,,,,,,
37,Muduva Nyangana,Bushpig,2020,,,152,,,,,,,
37,Muduva Nyangana,Bushpig,2021,,,111,,,,,,,
37,Muduva Nyangana,Bushpig,2022,3,1,106,2.8,,,,,,
37,Muduva Nyangana,Bushpig,2023,,,116,,,,,,,
37,Muduva Nyangana,Bushpig,2024,,,122,,,,,,,
37,Muduva Nyangana,Caracal,2013,,,94,,,,,,,
37,Muduva Nyangana,Caracal,2014,,,114,,,,,,,
37,Muduva Nyangana,Caracal,2015,,,112,,,,,,,
37,Muduva Nyangana,Caracal,2016,,,115,,,,,,,
37,Muduva Nyangana,Caracal,2017,,,113,,,,,,,
37,Muduva Nyangana,Caracal,2018,,,106,,,,,,,
37,Muduva Nyangana,Caracal,2019,,,116,,,,,,,
37,Muduva Nyangana,Caracal,2020,,,152,,,,,,,
37,Muduva Nyangana,Caracal,2021,,,111,,,,,,,
37,Muduva Nyangana,Caracal,2022,,,106,,,,,,,
37,Muduva Nyangana,Caracal,2023,,,116,,,,,,,
37,Muduva Nyangana,Caracal,2024,,,122,,,,,,,
37,Muduva Nyangana,Cheetah,2013,,,94,,,,,,,
37,Muduva Nyangana,Cheetah,2014,,,114,,,,,,,
37,Muduva Nyangana,Cheetah,2015,,,112,,,,,,,
37,Muduva Nyangana,Cheetah,2016,,,115,,,,,,,
37,Muduva Nyangana,Cheetah,2017,,,113,,,,,,,
37,Muduva Nyangana,Cheetah,2018,,,106,,,,,,,
37,Muduva Nyangana,Cheetah,2019,,,116,,,,,,,
37,Muduva Nyangana,Cheetah,2020,,,152,,,,,,,
37,Muduva Nyangana,Cheetah,2021,,,111,,,,,,,
37,Muduva Nyangana,Cheetah,2022,,,106,,,,,,,
37,Muduva Nyangana,Cheetah,2023,,,116,,,,,,,
37,Muduva Nyangana,Cheetah,2024,,,122,,,,,,,
37,Muduva Nyangana,Duiker,2013,9,9,94,9.6,,,,,,
37,Muduva Nyangana,Duiker,2014,12,11,114,10.5,,,,,,
37,Muduva Nyangana,Duiker,2015,20,20,112,17.9,,,,,,
37,Muduva Nyangana,Duiker,2016,15,14,115,13,,,,,,
37,Muduva Nyangana,Duiker,2017,18,15,113,15.9,,,,,,
37,Muduva Nyangana,Duiker,2018,11,11,106,10.4,,,,,,
