SpeciesName,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,Total Area (km2)
Gemsbok,2001,1513,359,15335,11331,20755,50485
Gemsbok,2002,2698,497,28909,20966,39863,50569
Gemsbok,2003,3358,546,21016,15401,28678,53044
Gemsbok,2004,2749,835,23152,17657,30357,55532
Gemsbok,2005,3444,672,29432,22378,38709,59295
Gemsbok,2006,2612,576,27791,20185,38264,58646
Gemsbok,2007,3898,964,53343,39632,71796,63319
Gemsbok,2008,2609,520,25360,18956,33928,65212
Gemsbok,2009,2652,529,27112,18930,38829,65822
Gemsbok,2010,2755,582,25152,18046,35056,65822
Gemsbok,2011,2166,425,20560,14760,28640,66635
Gemsbok,2012,3194,703,41195,31474,53919,65961
Gemsbok,2013,2413,679,29835,22369,39793,68702
Gemsbok,2014,1791,375,17627,12294,25271,69712
Gemsbok,2015,1247,377,12970,9360,17990,68832
Gemsbok,2016,1510,324,19740,14540,26810,69656
Gemsbok,2017,856,212,6090,4000,9250,68330
Gemsbok,2018,782,157,5900,3700,9400,69508
Gemsbok,2019,774,244,6613,4602,9503,69130
Gemsbok,2020,489,104,3002,1899,4746,69453
Gemsbok,2021,181,45,1296,733,2292,69859
Gemsbok,2022,309,48,899,409,1796,68792
Gemsbok,2023,152,26,1292,725,2303,68453
Gemsbok,2024,129,42,1613,868,2998,68498
Giraffe,2012,404,109,1815,,,65961
Giraffe,2013,336,128,1870,,,68702
Giraffe,2014,256,81,963,,,69712
Giraffe,2015,346,111,2940,2040,4240,68832
Hartmann's Zebra,2001,1210,147,9663,5947,15702,50485
Hartmann's Zebra,2002,1274,173,9790,5981,16026,50569
Hartmann's Zebra,2003,1414,180,10656,7386,15374,53044
Hartmann's Zebra,2004,1376,178,8689,5463,13821,55532
Hartmann's Zebra,2005,1738,243,12575,8368,18897,59295
Hartmann's Zebra,2006,1838,228,16129,10554,24647,58646
Hartmann's Zebra,2007,1684,244,12867,8278,19999,63319
Hartmann's Zebra,2008,2136,287,17071,10451,27883,65212
Hartmann's Zebra,2009,3004,318,23883,15893,35890,65822
Hartmann's Zebra,2010,3248,429,20460,13361,31328,65822
Hartmann's Zebra,2011,3341,323,27030,17790,41060,66635
Hartmann's Zebra,2012,2531,328,15915,10807,23436,65961
Hartmann's Zebra,2013,2790,376,20205,13787,29613,68702
Hartmann's Zebra,2014,2648,370,20133,13773,29429,69712
Hartmann's Zebra,2015,1812,253,17910,11840,27100,68832
Hartmann's Zebra,2016,1671,297,16320,11540,23090,69656
Hartmann's Zebra,2017,1671,256,12380,8880,17270,68330
Hartmann's Zebra,2018,2105,281,15260,10960,21260,69508
Hartmann's Zebra,2019,830,191,8699,5698,13281,69130
Hartmann's Zebra,2020,941,147,6422,3989,10339,69453
Hartmann's Zebra,2021,768,100,5567,3240,9567,69859
Hartmann's Zebra,2022,787,125,5083,2972,8694,68792
Hartmann's Zebra,2023,358,29,4474,2661,7525,68453
Hartmann's Zebra,2024,667,102,5970,3844,9274,68498
Kudu,2001,261,63,2087,1088,4004,50485
Kudu,2002,297,74,3330,2000,5544,50569
Kudu,2003,237,74,2562,1418,4629,53044
Kudu,2004,316,99,3396,2098,5496,55532
Kudu,2005,413,106,4830,3128,7457,59295
Kudu,2006,324,83,3812,2131,6820,58646
Kudu,2007,576,158,7380,4573,11910,63319
Kudu,2008,207,63,2417,1368,4269,65212
Kudu,2009,337,77,3854,2425,6125,65822
Kudu,2010,327,89,3883,2358,6397,65822
Kudu,2011,188,53,2600,1460,4610,66635
Kudu,2012,332,89,5530,3530,8662,65961
Kudu,2013,269,96,3704,2596,5286,68702
Kudu,2014,221,57,2545,1429,4533,69712
Kudu,2015,200,69,3780,2340,6110,68832
Kudu,2016,296,76,4340,2550,7390,69656
Kudu,2017,88,35,1810,1010,3240,68330
Kudu,2018,53,23,730,380,1400,69508
Kudu,2019,95,31,2031,1123,3674,69130
Kudu,2020,84,26,2631,1228,5634,69453
Kudu,2021,57,16,868,393,1916,69859
Kudu,2022,41,14,658,339,1278,68792
Kudu,2023,81,17,1005,472,2143,68453
Kudu,2024,60,23,701,373,1317,68498
Ostrich,2001,544,149,5072,3484,7384,50485
Ostrich,2002,659,132,4879,3375,7054,50569
Ostrich,2003,774,201,6444,4753,8736,53044
Ostrich,2004,817,188,6190,4401,8705,55532
Ostrich,2005,883,199,7484,5787,9679,59295
Ostrich,2006,741,200,6356,4771,8468,58646
Ostrich,2007,902,211,3934,3036,5100,63319
Ostrich,2008,666,169,5444,3966,7471,65212
Ostrich,2009,1247,192,12260,9026,16653,65822
Ostrich,2010,832,176,7429,5478,10075,65822
Ostrich,2011,769,207,7130,5300,9600,66635
Ostrich,2012,1023,225,9964,7793,12739,65961
Ostrich,2013,911,222,11189,8348,14996,68702
Ostrich,2014,752,186,7955,5687,11129,69712
Ostrich,2015,630,154,7290,5480,9690,68832
Ostrich,2016,706,175,7910,5810,10780,69656
Ostrich,2017,610,158,5460,4090,7290,68330
Ostrich,2018,545,144,4910,3560,6780,69508
Ostrich,2019,842,176,8112,6050,10876,69130
Ostrich,2020,515,116,4806,3404,6787,69453
Ostrich,2021,329,80,3424,2346,4997,69859
Ostrich,2022,554,142,4419,3221,6063,68792
Ostrich,2023,496,65,4856,3478,6780,68453
Ostrich,2024,522,133,5828,4060,8364,68498
Springbok,2001,11613,905,93154,72196,120200,50485
Springbok,2002,14560,886,73252,57029,94089,50569
Springbok,2003,16630,1090,136880,110330,169820,53044
Springbok,2004,10509,1152,93608,76551,114470,55532
Springbok,2005,14067,1187,126570,101970,157110,59295
Springbok,2006,11746,944,82857,66930,102580,58646
Springbok,2007,12135,957,117750,95743,144820,63319
Springbok,2008,18729,712,119450,916364,156170,65212
Springbok,2009,12411,890,98944,79060,123830,65822
Springbok,2010,15601,939,104920,81047,135830,65822
Springbok,2011,12792,690,93250,71320,121940,66635
Springbok,2012,11366,1043,113880,93693,138430,65961
Springbok,2013,7586,920,93214,72700,119520,68702
Springbok,2014,7531,644,79364,59880,105190,69712
Springbok,2015,5876,654,59940,46840,76710,68832
Springbok,2016,10744,756,103980,79210,136490,69656
Springbok,2017,6823,495,70420,52920,93710,68330
Springbok,2018,6456,507,59750,44130,80900,69508
Springbok,2019,4384,578,61191,46447,80615,69130
Springbok,2020,5717,458,59420,44683,79018,69453
Springbok,2021,4697,276,62870,37765,104660,69859
Springbok,2022,2449,346,33422,23516,47501,68792
Springbok,2023,3540,101,59250,42717,82182,68453
Springbok,2024,4221,463,73530,6963,98188,68498
Steenbok,2001,55,47,4503,2623,7731,50485
Steenbok,2002,85,66,4537,3069,6706,50569
Steenbok,2003,118,102,8181,5483,12207,53044
Steenbok,2004,203,162,14493,9846,21335,55532
Steenbok,2005,154,119,11268,7619,16664,59295
Steenbok,2006,101,85,5751,3942,8388,58646
Steenbok,2007,247,205,18421,13736,24702,63319
Steenbok,2008,85,74,6303,4110,9668,65212
Steenbok,2009,117,92,8476,6090,11796,65822
Steenbok,2010,149,127,12469,9158,16978,65822
Steenbok,2011,87,75,6910,4450,10740,66635
Steenbok,2012,262,219,17664,13625,22900,65961
Steenbok,2013,326,275,19013,14403,25099,68702
Steenbok,2014,167,133,11858,8214,17120,69712
Steenbok,2015,218,186,13610,10270,18030,68832
Steenbok,2016,197,172,12830,9670,17010,69656
Steenbok,2017,110,89,6680,4730,9430,68330
Steenbok,2018,70,62,4240,2870,6270,69508
Steenbok,2019,128,107,8214,6025,11199,69130
Steenbok,2020,129,110,8901,60925,13005,69453
Steenbok,2021,66,54,3545,2249,5589,69859
Steenbok,2022,47,44,2202,1297,3738,68792
Steenbok,2023,156,47,10857,7001,16838,68453
Steenbok,2024,125,96,12484,6609,22383,68498