ID_Location,Name,Year,Total route length (km),Total duration (hrs),Number of routes,Total Area (km2),Count Area (km2),,,,,,,,,,
19,Uukwaluudhi,2009,73.1,20.5,11,1437,55,,,,,,,,,,
19,Uukwaluudhi,2010,73.1,19.9,11,1437,55,,,,,,,,,,
35,Sheya Shuushona,2010,519.5,19.3,8,5067,4210,,,,,,,,,,
40,King Nehale,2010,128,16.6,3,508,391,,,,,,,,,,
19,Uukwaluudhi,2011,73.4,19.9,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2011,166.6,9.4,4,2993,1732,,,,,,,,,,
35,Sheya Shuushona,2011,519.5,25.6,8,5067,4210,,,,,,,,,,
40,King Nehale,2011,128,13.8,3,508,391,,,,,,,,,,
19,Uukwaluudhi,2012,75.2,21,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2012,195,12.5,4,2993,1732,,,,,,,,,,
35,Sheya Shuushona,2012,519.5,22.4,8,5067,4210,,,,,,,,,,
40,King Nehale,2012,167,10.2,4,508,508,,,,,,,,,,
57,Okongo,2012,63,42.5,9,1339,54,,,,,,,,,,
19,Uukwaluudhi,2013,76.5,23,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2013,176,10.6,4,2993,1732,,,,,,,,,,
35,Sheya Shuushona,2013,395.8,22.5,8,5067,4210,,,,,,,,,,
40,King Nehale,2013,140.8,13,4,508,508,,,,,,,,,,
57,Okongo,2013,61.8,23.4,9,1339,54,,,,,,,,,,
19,Uukwaluudhi,2014,89.7,17.9,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2014,169.1,9.5,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2014,383,27.9,8,5067,4214,,,,,,,,,,
40,King Nehale,2014,144,9.3,4,508,508,,,,,,,,,,
57,Okongo,2014,64.5,17.6,9,1339,54,,,,,,,,,,
19,Uukwaluudhi,2015,89.7,21.5,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2015,169.1,10.4,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2015,383,27.3,8,5067,4210,,,,,,,,,,
40,King Nehale,2015,144,12,4,508,508,,,,,,,,,,
57,Okongo,2015,64.5,19,9,1339,54,,,,,,,,,,
19,Uukwaluudhi,2016,68,20.5,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2016,173.9,10.5,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2016,424.4,22.5,8,5067,4210,,,,,,,,,,
40,King Nehale,2016,146.7,10.6,4,508,508,,,,,,,,,,
57,Okongo,2016,56.3,25,9,1339,54,,,,,,,,,,
19,Uukwaluudhi,2017,79.1,25.2,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2017,136,10.6,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2017,415,25.4,8,5067,4210,,,,,,,,,,
40,King Nehale,2017,122.7,12.8,4,508,508,,,,,,,,,,
57,Okongo,2017,61.6,20.5,9,1339,54,,,,,,,,,,
19,Uukwaluudhi,2018,79.1,20.6,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2018,136,10.7,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2018,415,26.5,8,5067,4210,,,,,,,,,,
40,King Nehale,2018,122.7,13.3,4,508,508,,,,,,,,,,
57,Okongo,2018,54.6,20.5,8,1339,54,,,,,,,,,,
19,Uukwaluudhi,2019,79.1,21,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2019,136,10.2,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2019,415,23.1,8,5067,4210,,,,,,,,,,
40,King Nehale,2019,122.7,10.9,4,508,508,,,,,,,,,,
57,Okongo,2019,68.1,20.9,11,1339,54,,,,,,,,,,
19,Uukwaluudhi,2020,79.1,21,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2020,136,10.2,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2020,415,26.1,8,5067,4210,,,,,,,,,,
40,King Nehale,2020,122.7,13.6,4,508,508,,,,,,,,,,
57,Okongo,2020,61.6,23.2,9,1339,54,,,,,,,,,,
19,Uukwaluudhi,2021,75.1,19.5,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2021,173,10.5,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2021,442.5,18.9,8,5067,4210,,,,,,,,,,
40,King Nehale,2021,137.3,10.1,4,508,508,,,,,,,,,,
57,Okongo,2021,56.2,18.6,8,1339,54,,,,,,,,,,
19,Uukwaluudhi,2022,80.3,20.1,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2022,174.2,11.9,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2022,412.3,23.2,8,5067,4210,,,,,,,,,,
40,King Nehale,2022,136.2,11.8,4,508,508,,,,,,,,,,
57,Okongo,2022,66.8,20.3,9,1339,54,,,,,,,,,,
19,Uukwaluudhi,2023,79,19.7,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2023,174.2,9.5,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2023,412.3,26.3,8,5067,4210,,,,,,,,,,
40,King Nehale,2023,136.2,11.7,4,508,508,,,,,,,,,,
57,Okongo,2023,59.5,18.9,8,1339,54,,,,,,,,,,
73,Iipumbu ya Tshilongo,2023,113,7.1,3,1548,1548,,,,,,,,,,
19,Uukwaluudhi,2024,76.5,21.2,11,1437,55,,,,,,,,,,
32,Uukolonkadhi Ruacana,2024,174.7,7.3,4,2993,1733,,,,,,,,,,
35,Sheya Shuushona,2024,454.5,22.6,9,5067,4210,,,,,,,,,,
40,King Nehale,2024,130.6,11.7,4,508,508,,,,,,,,,,
57,Okongo,2024,66.7,23.3,9,1339,54,,,,,,,,,,
73,Iipumbu ya Tshilongo,2024,111.6,7,3,1548,1548,,,,,,,,,,