Species,Year,Total,Books,Index,,,,,,,,,,,,,
Cheetah,2003,0,3,0,,,,,,,,,,,,,
Cheetah,2006,0,23,0,,,,,,,,,,,,,
Cheetah,2007,,2,,,,,,,,,,,,,,
Cheetah,2008,7,35,0.2,,,,,,,,,,,,,
Cheetah,2009,0,26,0,,,,,,,,,,,,,
Cheetah,2010,5,37,0.1,,,,,,,,,,,,,
Cheetah,2011,4,9,0.4,,,,,,,,,,,,,
Cheetah,2012,5,19,0.3,,,,,,,,,,,,,
Cheetah,2013,3,9,0.3,,,,,,,,,,,,,
Cheetah,2014,18,12,1.5,,,,,,,,,,,,,
Cheetah,2015,22,6,3.7,,,,,,,,,,,,,
Cheetah,2016,10,18,0.6,,,,,,,,,,,,,
Cheetah,2017,11,7,1.6,,,,,,,,,,,,,
Cheetah,2018,10,14,0.7,,,,,,,,,,,,,
Cheetah,2019,10,16,0.6,,,,,,,,,,,,,
Cheetah,2020,8,15,0.5,,,,,,,,,,,,,
Cheetah,2021,7,13,0.5,,,,,,,,,,,,,
Cheetah,2022,2,4,0.5,,,,,,,,,,,,,
Cheetah,2023,7,8,0.9,,,,,,,,,,,,,
"Jackal, Black-backed",2003,0,3,0,,,,,,,,,,,,,
"Jackal, Black-backed",2006,25,23,1.1,,,,,,,,,,,,,
"Jackal, Black-backed",2007,42,8,5.2,,,,,,,,,,,,,
"Jackal, Black-backed",2008,450,35,12.9,,,,,,,,,,,,,
"Jackal, Black-backed",2009,271,26,10.4,,,,,,,,,,,,,
"Jackal, Black-backed",2010,516,37,13.9,,,,,,,,,,,,,
"Jackal, Black-backed",2011,350,27,13,,,,,,,,,,,,,
"Jackal, Black-backed",2012,357,31,11.5,,,,,,,,,,,,,
"Jackal, Black-backed",2013,94,16,5.9,,,,,,,,,,,,,
"Jackal, Black-backed",2014,322,35,9.2,,,,,,,,,,,,,
"Jackal, Black-backed",2015,387,22,17.6,,,,,,,,,,,,,
"Jackal, Black-backed",2016,489,23,21.3,,,,,,,,,,,,,
"Jackal, Black-backed",2017,365,29,12.6,,,,,,,,,,,,,
"Jackal, Black-backed",2018,462,31,14.9,,,,,,,,,,,,,
"Jackal, Black-backed",2019,514,32,16.1,,,,,,,,,,,,,
"Jackal, Black-backed",2020,749,34,22,,,,,,,,,,,,,
"Jackal, Black-backed",2021,891,37,24.1,,,,,,,,,,,,,
"Jackal, Black-backed",2022,948,33,28.7,,,,,,,,,,,,,
"Jackal, Black-backed",2023,2038,34,59.9,,,,,,,,,,,,,
Leopard,2003,0,3,0,,,,,,,,,,,,,
Leopard,2004,1,3,0.3,,,,,,,,,,,,,
Leopard,2006,6,23,0.3,,,,,,,,,,,,,
Leopard,2007,10,8,1.2,,,,,,,,,,,,,
Leopard,2008,22,35,0.6,,,,,,,,,,,,,
Leopard,2009,7,26,0.3,,,,,,,,,,,,,
Leopard,2010,32,37,0.9,,,,,,,,,,,,,
Leopard,2011,66,24,2.8,,,,,,,,,,,,,
Leopard,2012,111,28,4,,,,,,,,,,,,,
Leopard,2013,31,18,1.7,,,,,,,,,,,,,
Leopard,2014,48,21,2.3,,,,,,,,,,,,,
Leopard,2015,69,24,2.9,,,,,,,,,,,,,
Leopard,2016,44,27,1.6,,,,,,,,,,,,,
Leopard,2017,51,20,2.6,,,,,,,,,,,,,
Leopard,2018,72,28,2.6,,,,,,,,,,,,,
Leopard,2019,40,16,2.5,,,,,,,,,,,,,
Leopard,2020,38,23,1.7,,,,,,,,,,,,,
Leopard,2021,67,17,3.9,,,,,,,,,,,,,
Leopard,2022,33,13,2.5,,,,,,,,,,,,,
Leopard,2023,45,20,2.2,,,,,,,,,,,,,
Lion,2003,0,3,0,,,,,,,,,,,,,
Lion,2006,4,23,0.2,,,,,,,,,,,,,
Lion,2007,,2,,,,,,,,,,,,,,
Lion,2008,57,35,1.6,,,,,,,,,,,,,
Lion,2009,81,26,3.1,,,,,,,,,,,,,
Lion,2010,62,37,1.7,,,,,,,,,,,,,
Lion,2011,29,10,2.9,,,,,,,,,,,,,
Lion,2012,186,19,9.8,,,,,,,,,,,,,
Lion,2013,16,9,1.8,,,,,,,,,,,,,
Lion,2014,54,14,3.9,,,,,,,,,,,,,
Lion,2015,69,8,8.6,,,,,,,,,,,,,
Lion,2016,61,8,7.6,,,,,,,,,,,,,
Lion,2017,37,12,3.1,,,,,,,,,,,,,
Lion,2018,60,14,4.3,,,,,,,,,,,,,
Lion,2019,93,13,7.2,,,,,,,,,,,,,
Lion,2020,167,14,11.9,,,,,,,,,,,,,
Lion,2021,147,10,14.7,,,,,,,,,,,,,
Lion,2022,66,20,3.3,,,,,,,,,,,,,
Lion,2023,35,14,2.5,,,,,,,,,,,,,
Spotted Hyaena,2003,0,3,0,,,,,,,,,,,,,
Spotted Hyaena,2004,1,3,0.3,,,,,,,,,,,,,
Spotted Hyaena,2005,31,2,15.5,,,,,,,,,,,,,
Spotted Hyaena,2006,116,23,5,,,,,,,,,,,,,
Spotted Hyaena,2007,91,8,11.4,,,,,,,,,,,,,
Spotted Hyaena,2008,532,35,15.2,,,,,,,,,,,,,
Spotted Hyaena,2009,576,26,22.2,,,,,,,,,,,,,
Spotted Hyaena,2010,513,37,13.9,,,,,,,,,,,,,
Spotted Hyaena,2011,430,29,14.8,,,,,,,,,,,,,
Spotted Hyaena,2012,447,31,14.4,,,,,,,,,,,,,
Spotted Hyaena,2013,298,18,16.6,,,,,,,,,,,,,
Spotted Hyaena,2014,258,35,7.4,,,,,,,,,,,,,
Spotted Hyaena,2015,373,21,17.8,,,,,,,,,,,,,
Spotted Hyaena,2016,387,32,12.1,,,,,,,,,,,,,
Spotted Hyaena,2017,437,29,15.1,,,,,,,,,,,,,
Spotted Hyaena,2018,519,33,15.7,,,,,,,,,,,,,
Spotted Hyaena,2019,493,34,14.5,,,,,,,,,,,,,
Spotted Hyaena,2020,581,34,17.1,,,,,,,,,,,,,
Spotted Hyaena,2021,403,37,10.9,,,,,,,,,,,,,
Spotted Hyaena,2022,788,33,23.9,,,,,,,,,,,,,
Spotted Hyaena,2023,583,34,17.1,,,,,,,,,,,,,